116 114 156 255
116 114 156 255
118 114 156 255
123 113 156 255
130 112 155 255
132 112 155 255
136 112 156 255
142 112 155 255
141 110 157 255
135 110 157 255
128 110 157 255
125 110 156 255
158 137 151 0
152 140 156 0
151 140 155 0
148 140 156 0
147 140 155 0
141 141 155 0
132 141 155 0
131 141 153 0
132 141 153 0
132 141 152 0
135 141 152 0
138 141 152 0
140 140 152 0
144 140 152 0
113 140 151 0
105 141 150 0
98 140 149 0
98 141 148 0
123 139 146 0
148 140 147 0
146 141 146 0
156 141 145 0
171 140 144 0
173 141 144 0
165 141 146 0
151 141 146 0
146 142 148 0
148 142 147 0
148 142 147 0
144 141 147 0
133 141 148 0
128 142 148 0
120 141 149 0
110 141 151 0
95 142 153 0
97 142 149 0
114 142 149 0
125 141 148 0
130 143 148 0
110 118 150 255
112 118 150 255
108 118 150 255
126 116 149 255
129 116 148 255
130 116 148 255
151 113 147 255
162 113 148 255
154 114 148 255
137 114 149 255
135 117 147 255
141 117 148 255
135 116 150 255
116 114 156 255
116 114 156 255
118 114 156 255
123 113 156 255
130 112 155 255
132 112 155 255
136 112 156 255
142 112 155 255
141 110 157 255
135 110 157 255
128 110 157 255
125 110 156 255
158 137 151 0
152 140 156 0
151 140 155 0
148 140 156 0
147 140 155 0
141 141 155 0
132 141 155 0
131 141 153 0
132 141 153 0
132 141 152 0
135 141 152 0
138 141 152 0
140 140 152 0
144 140 152 0
113 140 151 0
105 141 150 0
98 140 149 0
98 141 148 0
123 139 146 0
148 140 147 0
146 141 146 0
156 141 145 0
171 140 144 0
173 141 144 0
165 141 146 0
151 141 146 0
146 142 148 0
148 142 147 0
148 142 147 0
144 141 147 0
133 141 148 0
128 142 148 0
120 141 149 0
110 141 151 0
95 142 153 0
97 142 149 0
114 142 149 0
125 141 148 0
130 143 148 0
110 118 150 255
112 118 150 255
108 118 150 255
126 116 149 255
129 116 148 255
130 116 148 255
151 113 147 255
162 113 148 255
154 114 148 255
137 114 149 255
135 117 147 255
141 117 148 255
135 116 150 255
108 143 152 0
108 143 152 0
106 144 152 0
109 143 152 0
118 142 151 0
123 141 151 0
122 141 151 0
126 142 151 0
124 141 151 0
121 140 151 0
123 141 151 0
118 141 151 0
115 141 152 0
113 141 152 0
112 142 152 0
110 143 152 0
108 143 152 0
106 143 153 0
106 143 153 0
105 143 153 0
104 143 154 0
104 143 154 0
101 143 154 0
97 144 154 0
98 144 153 0
96 144 153 0
102 142 154 0
102 142 154 0
103 143 153 0
101 144 153 0
101 145 154 0
102 145 154 0
99 145 154 0
